number of adults,number of children,number of weekend nights,number of week nights,type of meal,car parking space,room type,lead time,market segment type,repeated,P-C,P-not-C,average price,special requests,date of reservation,booking status,outcome
2,0,0,2,Meal Plan 1,0,Room_Type 1,72,Offline,0,0,0,85.5,0,10/7/2018,Not_Canceled,0
2,0,0,1,Not Selected,1,Room_Type 1,23,Online,0,0,0,115,1,4/27/2018,Not_Canceled,0
1,0,2,1,Meal Plan 1,0,Room_Type 1,34,Online,0,0,0,81,0,6/19/2018,Canceled,1
2,0,0,1,Meal Plan 1,0,Room_Type 1,289,Offline,0,0,0,67,0,10/17/2017,Not_Canceled,0
2,0,2,3,Not Selected,0,Room_Type 1,247,Online,0,0,0,63.75,0,11/19/2018,Canceled,1
2,0,2,1,Meal Plan 1,0,Room_Type 4,186,Online,0,0,0,121.8,1,7/30/2018,Canceled,1
2,0,0,4,Meal Plan 1,0,Room_Type 1,64,Online,0,0,0,93.6,2,11/1/2018,Not_Canceled,0
2,0,0,2,Meal Plan 1,0,Room_Type 1,35,Online,0,0,0,102,1,6/21/2018,Not_Canceled,0
3,0,2,1,Meal Plan 1,0,Room_Type 1,96,Online,0,0,0,121.8,1,4/10/2018,Not_Canceled,0
2,0,1,1,Not Selected,0,Room_Type 1,41,Online,0,0,0,98.1,1,6/27/2018,Canceled,1
2,0,0,4,Meal Plan 1,0,Room_Type 4,55,Offline,0,0,0,60,1,11/18/2017,Not_Canceled,0
2,0,0,3,Meal Plan 1,0,Room_Type 1,146,Offline,0,0,0,75,0,12/29/2017,Not_Canceled,0
1,0,0,2,Meal Plan 1,0,Room_Type 1,32,Offline,0,0,0,73,0,11/20/2017,Not_Canceled,0
2,0,0,1,Meal Plan 2,0,Room_Type 1,55,Offline,0,0,0,104,0,4/6/2018,Not_Canceled,0
2,0,0,4,Not Selected,0,Room_Type 1,57,Online,0,0,0,79.2,1,11/1/2018,Not_Canceled,0
1,0,1,3,Meal Plan 1,0,Room_Type 4,7,Online,0,0,0,125.8,2,12/29/2018,Not_Canceled,0
1,0,2,5,Not Selected,0,Room_Type 1,124,Online,0,0,0,87.95,0,5/30/2018,Not_Canceled,0
2,0,2,2,Meal Plan 2,0,Room_Type 1,169,Online,0,0,0,106,0,4/22/2018,Canceled,1
1,0,1,2,Meal Plan 1,0,Room_Type 1,6,Online,0,0,0,136.67,1,5/16/2018,Not_Canceled,0
2,0,0,4,Meal Plan 1,0,Room_Type 4,51,Offline,0,0,0,60,1,11/11/2017,Not_Canceled,0
2,0,1,0,Not Selected,0,Room_Type 1,13,Online,0,0,0,89,2,6/13/2018,Not_Canceled,0
2,0,1,3,Meal Plan 1,0,Room_Type 1,100,Online,0,0,0,136,1,5/19/2018,Not_Canceled,0
2,0,0,1,Not Selected,0,Room_Type 1,139,Online,0,0,0,94.5,1,7/28/2018,Not_Canceled,0
2,0,1,2,Meal Plan 1,0,Room_Type 1,117,Online,0,0,0,93.6,2,12/26/2018,Not_Canceled,0
2,0,1,4,Meal Plan 1,0,Room_Type 4,39,Online,0,0,0,120.6,0,4/20/2018,Canceled,1
2,0,0,3,Meal Plan 1,0,Room_Type 4,86,Online,0,0,0,99.3,1,4/6/2018,Not_Canceled,0
2,2,0,1,Meal Plan 1,1,Room_Type 6,2,Online,0,0,0,258,1,9/2/2018,Not_Canceled,0
1,0,0,3,Meal Plan 1,0,Room_Type 4,19,Online,0,0,0,120.12,2,5/3/2018,Not_Canceled,0
1,0,0,2,Meal Plan 1,0,Room_Type 1,192,Offline,0,0,0,95,0,6/24/2018,Not_Canceled,0
1,0,0,1,Meal Plan 1,0,Room_Type 1,2,Complementary,0,0,0,0,1,9/10/2017,Not_Canceled,0
2,0,2,1,Meal Plan 1,0,Room_Type 1,86,Offline,0,0,0,75,0,12/18/2018,Not_Canceled,0
2,0,0,3,Meal Plan 1,0,Room_Type 4,30,Online,0,0,0,157.5,2,10/5/2018,Not_Canceled,0
2,0,0,2,Meal Plan 1,0,Room_Type 4,179,Online,0,0,0,97.7,1,6/3/2018,Not_Canceled,0
2,0,0,2,Meal Plan 1,0,Room_Type 4,26,Online,0,0,0,142,0,4/15/2018,Canceled,1
2,0,0,1,Meal Plan 1,0,Room_Type 1,55,Offline,0,0,0,80,0,4/6/2018,Not_Canceled,0
2,0,1,2,Meal Plan 1,0,Room_Type 1,74,Online,0,0,0,85.5,1,4/25/2018,Not_Canceled,0
2,0,0,3,Meal Plan 1,0,Room_Type 1,143,Offline,0,0,0,100,0,8/25/2018,Not_Canceled,0
2,0,1,0,Not Selected,0,Room_Type 1,34,Online,0,0,0,88,2,11/14/2018,Not_Canceled,0
2,0,1,1,Meal Plan 1,1,Room_Type 1,30,Online,0,0,0,122.85,1,8/29/2018,Not_Canceled,0
2,0,0,2,Meal Plan 1,0,Room_Type 1,177,Online,0,0,0,100,0,6/3/2018,Canceled,1
2,0,2,3,Meal Plan 1,0,Room_Type 4,34,Offline,0,0,0,75,0,10/25/2017,Not_Canceled,0
2,0,1,4,Meal Plan 1,0,Room_Type 4,18,Online,0,0,0,116.8,1,3/9/2018,Not_Canceled,0
3,0,1,1,Meal Plan 1,0,Room_Type 4,267,Online,0,0,0,121.5,0,12/31/2018,Not_Canceled,0
2,0,1,2,Meal Plan 1,0,Room_Type 1,64,Online,0,0,0,111.9,1,6/27/2018,Not_Canceled,0
3,0,2,5,Meal Plan 1,0,Room_Type 4,155,Online,0,0,0,121.55,2,6/28/2018,Canceled,1
2,0,0,5,Meal Plan 1,0,Room_Type 1,46,Offline,0,0,0,75,1,3/29/2018,Not_Canceled,0
2,2,0,2,Meal Plan 1,0,Room_Type 6,83,Online,0,0,0,159.3,0,4/1/2018,Canceled,1
2,0,0,5,Meal Plan 1,0,Room_Type 4,128,Online,0,0,0,132.3,0,10/11/2018,Canceled,1
2,0,2,0,Not Selected,0,Room_Type 1,20,Online,0,0,0,88,2,12/25/2018,Not_Canceled,0
2,0,1,4,Meal Plan 1,0,Room_Type 4,40,Online,0,0,0,98.82,0,3/14/2018,Not_Canceled,0
2,0,1,2,Meal Plan 1,1,Room_Type 4,46,Online,0,0,0,98.3,1,3/4/2018,Not_Canceled,0
1,0,1,0,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,150,2,10/17/2018,Not_Canceled,0
2,0,2,3,Not Selected,0,Room_Type 1,196,Online,0,0,0,96.05,1,9/4/2018,Not_Canceled,0
1,0,0,2,Meal Plan 1,0,Room_Type 1,188,Online,0,0,0,130,0,6/15/2018,Canceled,1
2,0,0,1,Not Selected,0,Room_Type 1,17,Online,1,0,5,95,0,12/10/2018,Not_Canceled,0
2,0,0,3,Meal Plan 1,0,Room_Type 5,146,Offline,0,0,0,113.56,0,8/9/2018,Not_Canceled,0
2,0,1,3,Not Selected,0,Room_Type 1,110,Online,0,0,0,101.58,1,5/5/2018,Not_Canceled,0
2,0,1,2,Meal Plan 1,1,Room_Type 1,68,Online,0,0,0,105.3,0,3/18/2018,Not_Canceled,0
2,0,2,1,Meal Plan 1,0,Room_Type 4,73,Online,0,0,0,115.8,1,4/9/2018,Not_Canceled,0
2,0,0,1,Meal Plan 1,0,Room_Type 4,92,Online,0,0,0,149.4,1,5/19/2018,Not_Canceled,0
2,0,2,5,Meal Plan 1,0,Room_Type 1,171,Online,0,0,0,111.59,0,8/30/2018,Canceled,1
2,1,0,2,Meal Plan 1,1,Room_Type 1,134,Online,0,0,0,130.5,2,8/4/2018,Not_Canceled,0
2,0,0,2,Meal Plan 2,0,Room_Type 1,320,Online,0,0,0,115,1,8/18/2018,Canceled,1
2,0,0,4,Meal Plan 1,0,Room_Type 1,118,Online,0,0,0,90.95,1,4/13/2018,Not_Canceled,0
2,0,0,3,Meal Plan 1,0,Room_Type 1,30,Online,0,0,0,76.08,1,11/17/2018,Not_Canceled,0
2,2,1,3,Meal Plan 1,0,Room_Type 6,30,Online,0,0,0,156.9,0,12/22/2018,Not_Canceled,0
2,0,1,0,Not Selected,0,Room_Type 1,189,Online,0,0,0,85.5,2,10/23/2018,Not_Canceled,0
3,0,1,2,Meal Plan 1,0,Room_Type 4,55,Online,0,0,0,159.3,2,5/13/2018,Not_Canceled,0
1,0,0,4,Meal Plan 1,0,Room_Type 1,55,Online,0,0,0,74.8,2,12/13/2018,Not_Canceled,0
2,0,0,1,Meal Plan 1,0,Room_Type 1,16,Online,0,0,0,95,1,10/31/2017,Not_Canceled,0
2,0,0,3,Meal Plan 1,0,Room_Type 1,24,Online,0,0,0,107,1,10/8/2017,Not_Canceled,0
2,0,0,3,Meal Plan 1,0,Room_Type 1,8,Offline,0,0,0,64,0,2/16/2018,Not_Canceled,0
2,0,1,4,Meal Plan 1,1,Room_Type 1,10,Online,0,0,0,82.95,0,11/2/2017,Not_Canceled,0
2,0,1,3,Meal Plan 1,0,Room_Type 4,0,Online,0,0,0,155,1,9/21/2017,Not_Canceled,0
2,0,0,1,Not Selected,0,Room_Type 1,12,Online,0,0,0,101.68,1,6/30/2018,Not_Canceled,0
2,0,2,1,Meal Plan 1,0,Room_Type 1,32,Online,0,0,0,94.5,3,9/5/2017,Not_Canceled,0
2,0,0,2,Meal Plan 1,0,Room_Type 1,182,Online,0,0,0,117.9,2,9/30/2018,Canceled,1
2,0,1,0,Not Selected,0,Room_Type 1,1,Online,0,0,0,127,1,6/27/2018,Not_Canceled,0
2,0,0,3,Not Selected,0,Room_Type 1,122,Online,0,0,0,116.1,2,6/16/2018,Not_Canceled,0
2,0,2,3,Meal Plan 1,0,Room_Type 1,40,Online,0,0,0,117.9,1,6/30/2018,Not_Canceled,0
2,2,2,2,Meal Plan 1,0,Room_Type 2,116,Online,0,0,0,184.24,1,6/26/2018,Canceled,1
3,0,2,2,Meal Plan 1,1,Room_Type 4,123,Online,0,0,0,155.7,1,8/13/2018,Not_Canceled,0
3,0,2,5,Meal Plan 1,0,Room_Type 4,40,Online,0,0,0,135.76,0,4/22/2018,Canceled,1
2,1,2,5,Meal Plan 1,0,Room_Type 1,105,Online,0,0,0,102.83,3,11/12/2018,Not_Canceled,0
2,0,0,1,Meal Plan 1,0,Room_Type 1,443,Online,0,0,0,65,0,4/29/2018,Canceled,1
2,0,2,3,Meal Plan 1,0,Room_Type 1,2,Online,0,0,0,103,1,11/14/2017,Not_Canceled,0
2,0,0,3,Meal Plan 1,0,Room_Type 1,317,Online,0,0,0,106.2,1,9/1/2018,Canceled,1
2,0,0,2,Meal Plan 2,0,Room_Type 1,286,Offline,0,0,0,58.5,0,9/16/2018,Not_Canceled,0
2,0,1,3,Meal Plan 1,0,Room_Type 1,68,Online,0,0,0,73.95,0,3/10/2018,Canceled,1
2,0,0,3,Meal Plan 1,0,Room_Type 1,148,Online,0,0,0,105.3,0,5/5/2018,Not_Canceled,0
3,0,2,0,Meal Plan 1,0,Room_Type 4,68,Online,0,0,0,133.2,2,4/24/2018,Not_Canceled,0
2,0,0,2,Meal Plan 1,0,Room_Type 1,30,Offline,0,0,0,85.5,0,3/30/2018,Not_Canceled,0
1,0,0,1,Meal Plan 1,0,Room_Type 1,14,Online,0,0,0,112,1,11/3/2018,Canceled,1
2,2,0,2,Meal Plan 1,0,Room_Type 6,110,Online,0,0,0,190.8,0,10/14/2018,Canceled,1
1,0,2,3,Meal Plan 1,0,Room_Type 1,117,Offline,0,0,0,110,0,6/5/2018,Not_Canceled,0
2,0,1,4,Meal Plan 1,0,Room_Type 4,85,Online,0,0,0,91.48,1,7/13/2018,Not_Canceled,0
2,0,0,2,Not Selected,0,Room_Type 1,1,Online,0,0,0,135,2,10/20/2018,Not_Canceled,0
1,0,1,2,Meal Plan 1,0,Room_Type 1,25,Online,0,0,0,129,2,10/17/2018,Not_Canceled,0
2,0,2,4,Not Selected,0,Room_Type 1,289,Online,0,0,0,70.55,2,12/28/2018,Canceled,1
2,0,1,4,Meal Plan 1,0,Room_Type 4,28,Offline,0,0,0,75,0,10/19/2017,Not_Canceled,0
1,0,0,4,Not Selected,0,Room_Type 1,80,Online,0,0,0,72.25,0,3/29/2018,Not_Canceled,0
2,0,0,1,Meal Plan 1,0,Room_Type 4,11,Online,0,0,0,155,2,10/9/2017,Not_Canceled,0
2,1,1,0,Meal Plan 1,0,Room_Type 1,162,Online,0,0,0,121.5,2,7/25/2018,Canceled,1
2,0,2,5,Meal Plan 1,0,Room_Type 1,155,Online,0,0,0,90.95,2,6/28/2018,Not_Canceled,0
1,0,2,2,Meal Plan 1,0,Room_Type 1,82,Online,0,0,0,109.65,0,5/22/2018,Not_Canceled,0
3,0,2,4,Meal Plan 1,0,Room_Type 4,27,Online,0,0,0,142.72,0,4/15/2018,Canceled,1
1,0,1,2,Meal Plan 1,0,Room_Type 1,13,Offline,0,0,0,90,0,5/9/2018,Not_Canceled,0
2,0,0,2,Meal Plan 1,0,Room_Type 1,245,Online,0,0,0,75,0,6/17/2018,Canceled,1
2,0,0,2,Meal Plan 1,0,Room_Type 1,11,Online,0,0,0,111,1,11/18/2018,Canceled,1
2,0,2,2,Meal Plan 1,0,Room_Type 1,266,Online,0,0,0,86.7,2,10/30/2018,Not_Canceled,0
2,0,1,0,Meal Plan 1,0,Room_Type 1,39,Online,0,0,0,117.9,1,3/28/2018,Not_Canceled,0
1,0,0,2,Meal Plan 1,0,Room_Type 1,13,Complementary,1,3,5,0,1,6/1/2018,Not_Canceled,0
2,0,0,4,Not Selected,0,Room_Type 1,112,Online,0,0,0,101.58,1,5/4/2018,Not_Canceled,0
2,0,1,2,Not Selected,0,Room_Type 1,88,Online,0,0,0,58.9,1,4/8/2018,Not_Canceled,0
2,0,0,1,Meal Plan 1,0,Room_Type 1,56,Offline,0,0,0,120,0,6/8/2018,Not_Canceled,0
2,0,2,3,Meal Plan 1,0,Room_Type 4,73,Online,0,0,0,107.1,0,4/7/2018,Canceled,1
2,0,1,1,Meal Plan 1,0,Room_Type 1,80,Online,0,0,0,126.9,1,5/2/2018,Not_Canceled,0
2,0,0,3,Meal Plan 1,0,Room_Type 4,130,Online,0,0,0,139.5,2,9/29/2018,Canceled,1
2,0,1,3,Not Selected,0,Room_Type 1,69,Online,0,0,0,80.75,1,4/4/2018,Not_Canceled,0
2,0,0,2,Meal Plan 2,0,Room_Type 1,273,Online,0,0,0,109,0,7/17/2017,Canceled,1
2,0,0,1,Meal Plan 2,0,Room_Type 1,55,Offline,0,0,0,104,0,4/6/2018,Not_Canceled,0
1,0,0,3,Meal Plan 1,0,Room_Type 1,4,Corporate,1,1,5,65,1,11/1/2018,Not_Canceled,0
2,0,0,3,Meal Plan 1,0,Room_Type 4,97,Online,0,0,0,140.4,0,5/24/2018,Not_Canceled,0
2,0,0,3,Meal Plan 1,0,Room_Type 1,44,Offline,0,0,0,75,0,2/17/2018,Not_Canceled,0
2,0,0,1,Not Selected,0,Room_Type 1,31,Online,0,0,0,94.5,0,4/14/2018,Canceled,1
2,0,1,0,Not Selected,0,Room_Type 1,0,Online,0,0,0,109,0,6/5/2018,Not_Canceled,0
2,0,2,2,Meal Plan 1,0,Room_Type 1,62,Online,0,0,0,105,2,11/12/2018,Not_Canceled,0
2,0,2,2,Meal Plan 1,0,Room_Type 4,86,Online,0,0,0,107.95,1,4/17/2018,Not_Canceled,0
3,0,2,2,Meal Plan 1,0,Room_Type 7,3,Online,0,0,0,215.6,1,10/7/2018,Not_Canceled,0
2,0,1,1,Not Selected,0,Room_Type 1,197,Online,0,0,0,85.5,1,8/1/2018,Not_Canceled,0
2,0,0,2,Meal Plan 1,0,Room_Type 1,143,Online,0,0,0,105.3,2,7/12/2018,Not_Canceled,0
1,0,2,1,Meal Plan 2,0,Room_Type 1,23,Online,0,0,0,1,0,1/2/2018,Not_Canceled,0
2,0,0,2,Meal Plan 1,0,Room_Type 4,8,Online,0,0,0,156,0,6/15/2018,Canceled,1
1,0,0,2,Meal Plan 1,0,Room_Type 1,13,Online,0,0,0,73.15,1,11/16/2018,Not_Canceled,0
2,0,1,2,Meal Plan 1,0,Room_Type 1,280,Online,0,0,0,110,0,9/19/2018,Canceled,1
2,1,1,0,Not Selected,0,Room_Type 1,11,Online,0,0,0,87.4,1,9/13/2017,Not_Canceled,0
2,0,0,2,Meal Plan 1,0,Room_Type 1,317,Online,0,0,0,120,0,9/15/2018,Canceled,1
2,0,1,2,Not Selected,0,Room_Type 1,185,Online,0,0,0,79.2,0,12/16/2018,Canceled,1
2,0,1,3,Meal Plan 1,0,Room_Type 1,160,Online,0,0,0,90.95,1,6/30/2018,Not_Canceled,0
2,0,0,4,Meal Plan 1,0,Room_Type 1,104,Online,0,0,0,91.48,1,10/18/2018,Not_Canceled,0
2,1,0,1,Meal Plan 1,0,Room_Type 1,11,Online,0,0,0,150,1,11/5/2018,Canceled,1
2,0,0,1,Not Selected,0,Room_Type 1,2,Online,0,0,0,89,0,3/22/2018,Not_Canceled,0
2,0,1,4,Not Selected,0,Room_Type 1,14,Online,0,0,0,91.43,1,8/17/2018,Not_Canceled,0
2,0,0,2,Meal Plan 1,0,Room_Type 1,22,Offline,0,0,0,140,0,5/20/2018,Not_Canceled,0
1,1,2,5,Not Selected,0,Room_Type 1,37,Online,0,0,0,87.78,0,10/24/2017,Not_Canceled,0
2,0,0,2,Meal Plan 2,0,Room_Type 1,292,Online,0,0,0,115,0,7/21/2018,Canceled,1
2,0,0,3,Meal Plan 1,0,Room_Type 1,11,Online,0,0,0,80.85,1,9/9/2017,Not_Canceled,0
2,0,1,3,Meal Plan 1,0,Room_Type 1,86,Online,0,0,0,82.45,1,3/31/2018,Not_Canceled,0
2,0,0,1,Not Selected,0,Room_Type 1,109,Online,0,0,0,108,0,10/11/2018,Canceled,1
2,0,1,1,Meal Plan 1,0,Room_Type 4,72,Online,0,0,0,96.3,1,4/2/2018,Not_Canceled,0
2,0,1,5,Meal Plan 1,0,Room_Type 1,196,Online,0,0,0,99.45,0,8/22/2018,Canceled,1
2,0,0,2,Meal Plan 1,0,Room_Type 4,56,Online,0,0,0,140.4,1,5/13/2018,Not_Canceled,0
2,0,1,3,Meal Plan 1,0,Room_Type 1,189,Offline,0,0,0,72.25,0,8/8/2018,Not_Canceled,0
2,0,1,4,Meal Plan 1,0,Room_Type 4,126,Online,0,0,0,126,0,8/15/2018,Not_Canceled,0
2,0,2,3,Meal Plan 1,0,Room_Type 1,303,Online,0,0,0,78,0,8/19/2018,Canceled,1
1,0,2,2,Meal Plan 1,0,Room_Type 4,81,Online,0,0,0,146.6,1,11/6/2018,Not_Canceled,0
2,0,1,2,Meal Plan 1,0,Room_Type 1,54,Online,0,0,0,118.8,0,10/10/2018,Canceled,1
1,0,0,1,Meal Plan 1,0,Room_Type 1,15,Online,0,0,0,145,0,10/6/2018,Canceled,1
2,0,0,4,Meal Plan 1,0,Room_Type 1,86,Online,0,0,0,84.58,0,4/6/2018,Canceled,1
2,0,1,2,Meal Plan 2,0,Room_Type 1,161,Online,0,0,0,130,0,3/25/2018,Canceled,1
2,0,4,10,Meal Plan 1,0,Room_Type 4,147,Online,0,0,0,118.88,1,8/3/2018,Canceled,1
2,0,1,2,Meal Plan 1,0,Room_Type 1,92,Offline,0,0,0,101.52,0,5/30/2018,Not_Canceled,0
2,0,0,1,Meal Plan 1,0,Room_Type 1,87,Corporate,0,0,0,100,0,9/11/2017,Canceled,1
2,0,2,1,Meal Plan 1,0,Room_Type 1,109,Offline,0,0,0,58,0,3/20/2018,Not_Canceled,0
2,0,0,4,Meal Plan 1,0,Room_Type 1,127,Offline,0,0,0,61.5,2,3/23/2018,Not_Canceled,0
2,0,1,2,Meal Plan 2,0,Room_Type 1,418,Online,0,0,0,107,0,9/26/2018,Canceled,1
2,0,1,4,Not Selected,0,Room_Type 1,156,Online,0,0,0,87.3,1,8/24/2018,Not_Canceled,0
2,0,0,2,Meal Plan 1,0,Room_Type 1,80,Online,0,0,0,76.5,1,7/16/2017,Canceled,1
2,0,2,2,Not Selected,0,Room_Type 1,211,Online,0,0,0,63.75,0,12/16/2018,Canceled,1
2,0,1,2,Meal Plan 1,0,Room_Type 1,273,Online,0,0,0,95,0,5/13/2018,Canceled,1
2,0,2,1,Meal Plan 1,0,Room_Type 1,58,Offline,0,0,0,75,1,11/19/2018,Not_Canceled,0
2,0,0,3,Meal Plan 1,0,Room_Type 1,433,Online,0,0,0,70,0,9/8/2018,Canceled,1
2,0,1,3,Meal Plan 1,0,Room_Type 1,111,Online,0,0,0,101.58,1,5/2/2018,Not_Canceled,0
2,0,2,3,Meal Plan 1,0,Room_Type 1,34,Offline,0,0,0,85,0,8/21/2018,Not_Canceled,0
2,0,2,4,Meal Plan 1,0,Room_Type 1,17,Online,0,0,0,98.39,0,12/3/2018,Not_Canceled,0
1,0,0,0,Meal Plan 1,0,Room_Type 1,4,Complementary,0,0,0,0,1,2/27/2018,Not_Canceled,0
2,0,0,3,Meal Plan 1,0,Room_Type 1,6,Online,0,0,0,106.07,1,9/22/2017,Not_Canceled,0
2,0,1,1,Meal Plan 1,0,Room_Type 1,32,Offline,0,0,0,105,1,7/18/2018,Not_Canceled,0
2,0,0,1,Meal Plan 1,0,Room_Type 1,4,Online,0,0,0,145,2,9/22/2017,Not_Canceled,0
3,0,2,1,Meal Plan 1,0,Room_Type 1,195,Online,0,0,0,106.03,1,8/13/2018,Canceled,1
2,0,2,2,Meal Plan 1,0,Room_Type 1,119,Online,0,0,0,114.3,1,8/13/2018,Not_Canceled,0
1,0,1,1,Not Selected,0,Room_Type 1,13,Online,0,0,0,88,0,12/5/2018,Not_Canceled,0
2,0,0,2,Meal Plan 1,0,Room_Type 1,59,Online,0,0,0,89.25,2,10/15/2017,Not_Canceled,0
2,1,2,5,Meal Plan 1,0,Room_Type 4,78,Online,0,0,0,86.32,1,3/20/2018,Not_Canceled,0
2,0,0,3,Meal Plan 1,0,Room_Type 1,335,Offline,0,0,0,90,1,10/13/2018,Not_Canceled,0
2,0,2,5,Meal Plan 1,0,Room_Type 1,103,Online,0,0,0,55.96,0,8/22/2017,Not_Canceled,0
1,0,0,2,Not Selected,0,Room_Type 1,0,Online,0,0,0,109,1,6/8/2018,Not_Canceled,0
2,0,0,1,Meal Plan 1,0,Room_Type 1,118,Offline,0,0,0,86,0,3/1/2018,Not_Canceled,0
2,0,1,5,Meal Plan 1,0,Room_Type 1,56,Online,0,0,0,118.95,0,9/5/2018,Not_Canceled,0
2,0,0,2,Meal Plan 1,0,Room_Type 1,107,Offline,0,0,0,130,1,6/10/2018,Not_Canceled,0
2,0,1,3,Not Selected,0,Room_Type 1,70,Online,0,0,0,90.56,1,4/14/2018,Not_Canceled,0
2,0,0,2,Meal Plan 1,0,Room_Type 1,76,Online,0,0,0,87.3,1,4/1/2018,Not_Canceled,0
2,2,2,2,Meal Plan 1,0,Room_Type 6,144,Online,0,0,0,177.65,1,5/27/2018,Canceled,1
1,2,2,2,Meal Plan 1,0,Room_Type 6,4,Online,0,0,0,200.75,2,9/19/2017,Not_Canceled,0
2,1,0,2,Meal Plan 1,0,Room_Type 1,15,Online,0,0,0,127,1,3/18/2018,Not_Canceled,0
1,0,1,2,Meal Plan 1,0,Room_Type 1,32,Online,0,0,0,72.9,0,2/5/2018,Canceled,1
3,0,1,1,Meal Plan 1,0,Room_Type 4,49,Online,0,0,0,159.3,0,5/7/2018,Canceled,1
2,1,1,3,Meal Plan 1,0,Room_Type 1,77,Online,0,0,0,135.15,1,5/12/2018,Not_Canceled,0
1,0,0,2,Meal Plan 1,0,Room_Type 1,22,Offline,0,0,0,90,0,10/28/2018,Not_Canceled,0
2,0,1,0,Not Selected,0,Room_Type 1,0,Online,0,0,0,114,0,10/18/2017,Not_Canceled,0
